mahalle,ilce,vs30_mosaic
BURGAZADA MAHALLESI,ADALAR,600.00000
HEYBELIADA MAHALLESI,ADALAR,286.00000
KINALIADA MAHALLESI,ADALAR,344.00000
MADEN MAHALLESI,ADALAR,433.00000
NIZAM MAHALLESI,ADALAR,498.00000
ADNAN MENDERES MAHALLESI,ARNAVUTKOY,407.00000
ANADOLU MAHALLESI,ARNAVUTKOY,478.00000
ARNAVUTKOY MERKEZ MAHALLESI,ARNAVUTKOY,447.00000
ATATURK MAHALLESI,ARNAVUTKOY,447.00000
BAKLALI MAHALLESI,ARNAVUTKOY,379.00000
BALABAN MAHALLESI,ARNAVUTKOY,357.00000
BOGAZKOY ISTIKLAL MAHALLESI,ARNAVUTKOY,293.00000
BOLLUCA MAHALLESI,ARNAVUTKOY,292.00000
BOYALIK MAHALLESI,ARNAVUTKOY,338.00000
CILINGIR MAHALLESI,ARNAVUTKOY,458.00000
DELIKLIKAYA MAHALLESI,ARNAVUTKOY,484.00000
DURSUNKOY MAHALLESI,ARNAVUTKOY,495.00000
DURUSU MAHALLESI,ARNAVUTKOY,269.00000
FATIH MAHALLESI,ARNAVUTKOY,423.00000
HACIMASLI MAHALLESI,ARNAVUTKOY,392.00000
HADIMKOY MAHALLESI,ARNAVUTKOY,420.00000
HARACCI MAHALLESI,ARNAVUTKOY,338.00000
HASTANE MAHALLESI,ARNAVUTKOY,299.00000
HICRET MAHALLESI,ARNAVUTKOY,297.00000
IMRAHOR MAHALLESI,ARNAVUTKOY,310.00000
ISLAMBEY MAHALLESI,ARNAVUTKOY,484.00000
KARABURUN MAHALLESI,ARNAVUTKOY,600.00000
KARLIBAYIR MAHALLESI,ARNAVUTKOY,410.00000
MARESAL FEVZI CAKMAK MAHALLESI,ARNAVUTKOY,336.00000
MAVIGOL MAHALLESI,ARNAVUTKOY,384.00000
MEHMET AKIF ERSOY MAHALLESI,ARNAVUTKOY,416.00000
MUSTAFA KEMAL PASA MAHALLESI,ARNAVUTKOY,411.00000
NENEHATUN MAHALLESI,ARNAVUTKOY,412.00000
OMERLI MAHALLESI,ARNAVUTKOY,382.00000
SAZLIBOSNA MAHALLESI,ARNAVUTKOY,460.00000
TASOLUK MAHALLESI,ARNAVUTKOY,418.00000
TAYAKADIN MAHALLESI,ARNAVUTKOY,402.00000
TERKOS MAHALLESI,ARNAVUTKOY,269.00000
YASSIOREN MAHALLESI,ARNAVUTKOY,312.00000
YAVUZ SELIM MAHALLESI,ARNAVUTKOY,478.00000
YENIKOY MAHALLESI,ARNAVUTKOY,457.00000
YESILBAYIR MAHALLESI,ARNAVUTKOY,480.00000
YUNUS EMRE MAHALLESI,ARNAVUTKOY,498.00000
ASIKVEYSEL MAHALLESI,ATASEHIR,446.00000
ATATURK MAHALLESI,ATASEHIR,346.00000
BARBAROS MAHALLESI,ATASEHIR,347.00000
ESATPASA MAHALLESI,ATASEHIR,466.00000
FERHATPASA MAHALLESI,ATASEHIR,436.00000
FETIH MAHALLESI,ATASEHIR,447.00000
ICERENKOY MAHALLESI,ATASEHIR,339.00000
INONU MAHALLESI,ATASEHIR,438.00000
KAYISDAGI MAHALLESI,ATASEHIR,416.00000
KUCUKBAKKALKOY MAHALLESI,ATASEHIR,407.00000
MEVLANA MAHALLESI,ATASEHIR,416.00000
MIMAR SINAN MAHALLESI,ATASEHIR,520.00000
MUSTAFA KEMAL MAHALLESI,ATASEHIR,332.00000
